Certes	certes	ADV
,	,	PONCT
rien	rien	PRO
ne	ne	ADV
dit	dire	V
qu'	que	C
une	un	D
seconde	second	A
motion	motion	N
de	de	P
censure	censure	N
sur	sur	P
son	son	D
projet	projet	N
de	de	P
loi	loi	N
,	,	PONCT
reprenant	reprendre	V
l'	le	D
accord	accord	N
du	de	P+D
10	10	A
avril	avril	N
,	,	PONCT
n'	ne	ADV
aurait	avoir	V
pas	pas	ADV
été	être	V
la	le	D
bonne	bon	A
mais	mais	C
cette	ce	D
probabilité	probabilité	N
,	,	PONCT
reconnaissent	reconnaître	V
les	le	D
socialistes	socialiste	N
,	,	PONCT
n'	ne	ADV
était	être	V
pas	pas	ADV
la	le	D
plus	plus	ADV
plausible	plausible	A
.	.	PONCT

Toujours	toujours	ADV
est	être	V
-il	il	CL
que	que	C
le	le	D
gouvernement	gouvernement	N
a	avoir	V
cédé	céder	V
alors_que	alors_que	C
ses	son	D
adversaires	adversaire	N
politiques	politique	A
ne	ne	ADV
proposent	proposer	V
aucune	aucun	D
solution	solution	N
alternative	alternatif	A
et	et	C
considèrent	considérer	V
,	,	PONCT
avec_un_bel_ensemble	avec_un_bel_ensemble	ADV
,	,	PONCT
que	que	C
la	le	D
défense	défense	N
des	de	P+D
intérêts	intérêt	N
des	de	P+D
malades	malade	N
passe	passer	V
par	par	P
le	le	D
maintien	maintien	N
d'	de	P
un	un	D
système	système	N
qui	qui	PRO
aboutit	aboutir	V
à	à	P
multiplier	multiplier	V
les	le	D
actes	acte	N
inutiles	inutile	A
et	et	C
au	à	P+D
dépassement	dépassement	N
généralisé	généraliser	V
des	de	P+D
honoraires	honoraires	N
de	de	P
la	le	D
"	"	PONCT
Sécu	Sécu	N
"	"	PONCT
.	.	PONCT

Du_coup	du_coup	ADV
,	,	PONCT
il	il	CL
s'	se	CL
est	être	V
incliné	incliner	V
devant	devant	P
le	le	D
corporatisme	corporatisme	N
des	de	P+D
représentants	représentant	N
du	de	P+D
corps	corps	N
médical	médical	A
(	)	PONCT
qui	qui	PRO
traversent	traverser	V
la	le	D
même	même	A
crise	crise	N
de	de	P
représentativité	représentativité	N
que	que	C
les	le	D
syndicalistes	syndicaliste	N
du	de	P+D
monde	monde	N
salarié	salarié	A
)	(	PONCT
,	,	PONCT
plus	plus	ADV
préoccupés	préoccupé	A
par	par	P
leurs	son	D
rivalités	rivalité	N
internes	interne	A
que	que	C
par	par	P
les	le	D
attentes	attente	N
des	de	P+D
médecins	médecin	N
à_la_recherche_de	à_la_recherche_de	P
règles	règle	N
du	du	P+D
jeu	jeu	N
claires	clair	A
et	et	C
acceptables	acceptable	A
.	.	PONCT

Le	le	D
gouvernement	gouvernement	N
se	se	CL
résout	résoudre	V
donc	donc	ADV
à	à	P
renvoyer	renvoyer	V
la	le	D
balle	balle	N
dans	dans	P
le	le	D
camp	camp	N
de	de	P
partenaires	partenaire	N
qui	qui	PRO
ont	avoir	V
amplement	amplement	ADV
fait	faire	V
la	le	D
preuve	preuve	N
de	de	P
leur	son	D
incapacité	incapacité	N
à	à	P
